training_cost,test_cost,epoch,training_shape_cost,test_shape_cost,training_shape_accuracy,test_shape_accuracy,training_size_cost,test_size_cost,training_size_accuracy,test_size_accuracy,training_color_cost,test_color_cost,training_color_accuracy,test_color_accuracy
36.72249612119463,36.722895521587795,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.409884870863749,9.425317413029365,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.406743635682831,9.422093414342585,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.404806701554987,9.42018398301867,15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.402927658587643,9.418578013678138,20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.401401643251674,9.41717580645596,25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.40025490649226,9.41622111421572,30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.399099801008848,9.415541411480707,35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.397999156786314,9.414926029443627,40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.396596220157594,9.414127656844183,45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.395820175396548,9.413668002703854,50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.395087678136102,9.413066156382385,55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.394497153658971,9.412469770507538,60,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.39338640874983,9.411851427771701,65,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.39280557530925,9.411218877441616,70,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.391975607218912,9.410477433399546,75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.391283037553768,9.409597208883394,80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.390613068612232,9.408555158584386,85,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.389738035205037,9.407410276365095,90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.388594536798772,9.40602340342722,95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.38761025849198,9.40503602068696,100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
